"day","name","amount","recurring","type","month","year"
"2","ATM DEPOSIT D319 Shrewsbury /MA","250","none","income","1","2026"
"2","ATM DEPOSIT D319 Shrewsbury /MA","200","none","income","1","2026"
"2","LOFT 1415 BLACKSTONE V MILLBURY /MA US CARD PURCHASE","32.47","none","income","1","2026"
"2","Dicks Sporting Goods Northborough /MA US CARD PURCHASE","32","none","income","1","2026"
"2","ATM DEPOSIT D319 Shrewsbury /MA","10","none","income","1","2026"
"2","ATM DEPOSIT D319 Shrewsbury /MA","10","none","income","1","2026"
"2","ATM DEPOSIT D319 Shrewsbury /MA","10","none","income","1","2026"
"2","ATM DEPOSIT D319 Shrewsbury /MA","5","none","income","1","2026"
"2","ATM DEPOSIT D319 Shrewsbury /MA","5","none","income","1","2026"
"2","CAPELLI AVANTI WORCESTER /MA US CARD PURCHASE","25","none","expense","1","2026"
"2","VENMO *ASHLEY PHAN 8558124430 /NY US CARD PURCHASE","10","none","expense","1","2026"
"2","SPO*THEGROUNDROUND SHREWSBURY /MA US CARD PURCHASE","111.53","none","expense","1","2026"
"2","Prime Video Channels SEATTLE /WA US CARD PURCHASE","12.99","none","expense","1","2026"
"2","SSP*CHICKEESDANCEWORL WORCESTER /MA US CARD","142","none","expense","1","2026"
"2","NORDSTROM RACK MILLBURY /MA US CARD PURCHASE","135.21","none","expense","1","2026"
"2","TST* T.G.I. FRIDAY'S - MILLBURY /MA US CARD PURCHASE","63.34","none","expense","1","2026"
"2","J CREW FACTORY NORTHBORO /MA US CARD PURCHASE","144","none","expense","1","2026"
"2","TARGET.COM BROOKLYN PARK /MN US CARD PURCHASE","13.96","none","expense","1","2026"
"2","Prime Video Channels SEATTLE /WA US CARD PURCHASE","12.99","none","expense","1","2026"
"2","Netflix.com Los Gatos /CA US CARD PURCHASE","17.99","none","expense","1","2026"
"2","SCRUBADUB NATICK NATICK /MA US CARD PURCHASE","29.99","none","expense","1","2026"
"2","ULTIMATE CASH BACK RECURRING PAYMENT 02.02.26","41.38","none","expense","1","2026"
"2","OKEMO TICKETS 303-404-1038 /VT US CARD PURCHASE","1320","none","expense","1","2026"
"2","Goodleap AGNT PYMNT","296.58","none","expense","1","2026"
"3","BRIAN GEARY P2P XFR","1500","none","income","1","2026"
"3","J CREW FACTORY # 1128 NORTHBORO /MA US CARD PURCHASE","72","none","income","1","2026"
"3","422899380017650 THAXTON /VA PURCHASE CORRECTION","24.68","none","income","1","2026"
"3","TARGET T-1496 Westborough /MA US CARD PURCHASE","5.3","none","expense","1","2026"
"3","TARGET T-1496 Westborough /MA US CARD PURCHASE","44.41","none","expense","1","2026"
"3","Gymnastics Learning 1508792155 /MA US CARD PURCHASE","248","none","expense","1","2026"
"4","Prime Video Channels SEATTLE /WA US CARD PURCHASE","4.99","none","expense","1","2026"
"4","TARGET.COM BROOKLYN PARK /MN US CARD PURCHASE","175.31","none","expense","1","2026"
"4","GFM*GoFundMe Standing GOFUNDME.COM /CA US CARD","58.75","none","expense","1","2026"
"4","AMAZON.COM*K55A SEATTLE /WA US CARD PURCHASE","10.55","none","expense","1","2026"
"4","AMAZON.COM*E073 SEATTLE /WA US CARD PURCHASE","34.99","none","expense","1","2026"
"4","AMAZON.COM*LI69 SEATTLE /WA US CARD PURCHASE","34.99","none","expense","1","2026"
"4","TARGET.COM * 800-591-3869 /MN US CARD PURCHASE","11.62","none","expense","1","2026"
"4","BOSTON ATHLETIC ASSOCI BOSTON /MA US CARD PURCHASE","76.3","none","expense","1","2026"
"4","Disney PLUS Rec www.disneypl/FL US CARD PURCHASE","24.99","none","expense","1","2026"
"4","LIBERTY MUTUAL PAYMENT 260204 ************4A","591.19","none","expense","1","2026"
"5","STAPLES 00100594 SHREWSBURY /MA US CARD PURCHASE","2","none","expense","1","2026"
"6","LILLIPUT SCHOOL SHREWSBURY /MA US CARD PURCHASE","529.67","none","expense","1","2026"
"6","Dean Park Grill & Pizz SHREWSBURY /MA US CARD PURCHASE","14.93","none","expense","1","2026"
"6","TRADER JOE S #5 SHREWSBURY /MA US CARD PURCHASE","29.41","none","expense","1","2026"
"6","AMAZON.COM*SP9A SEATTLE /WA US CARD PURCHASE","5.41","none","expense","1","2026"
"9","MED*BOSTON CHILDRENS P BOSTON /MA US CARD PURCHASE","76.79","none","expense","1","2026"
"9","AMAZON.COM*UL72 SEATTLE /WA US CARD PURCHASE","21.22","none","expense","1","2026"
"9","WU * ENGLEWOOD /CO US CARD PURCHASE","72.03","none","expense","1","2026"
"9","CVS/PHARMACY #1 Shrewsbury /MA US CARD PURCHASE","5.34","none","expense","1","2026"
"9","LUX NAILS NORTHBOROUGH /MA US CARD PURCHASE","20","none","expense","1","2026"
"9","VENMO *LINA PHAM 8558124430 /NY US CARD PURCHASE","8","none","expense","1","2026"
"9","TARGET T-1496 Westborough /MA US CARD PURCHASE","70.82","none","expense","1","2026"
"9","SP CANOPY AUSTIN /TX US CARD PURCHASE","87.73","none","expense","1","2026"
"9","SP FILTERBABY GAITHERSBURG /MD US CARD PURCHASE","105.19","none","expense","1","2026"
"9","SUNOCO 03037116 SHREWSBURY /MA US CARD PURCHASE","41.46","none","expense","1","2026"
"9","BOSTON SKI & TENNIS (W WESTBOROUGH /MA US CARD","246.66","none","expense","1","2026"
"9","TRADER JOE S #5 SHREWSBURY /MA US CARD PURCHASE","62.85","none","expense","1","2026"
"9","WHOLEFDS SHB #1 SHREWSBURY /MA US CARD PURCHASE","15.54","none","expense","1","2026"
"9","APPLE.COM/BILL CUPERTINO /CA US CARD PURCHASE","2.99","none","expense","1","2026"
"9","PELOTON* MEMBERSHIP NEW YORK /NY US CARD PURCHASE","49.99","none","expense","1","2026"
"9","DRAFTKINGS INTERNET SD1405","20","none","expense","1","2026"
"9","CHASE CREDIT CRD EPAY 260206","64.82","none","expense","1","2026"
"9","UniBank Reg Loan","2841.14","none","expense","1","2026"
"10","TODOIST DOVER /DE US CARD PURCHASE","36","none","expense","1","2026"
"11","APPLE.COM/BILL CUPERTINO /CA US CARD PURCHASE","5.3","none","expense","1","2026"
